Phrase 1,Phrase 2,Sentence 1,Sentence 2,Chain 1,Chain 2,Same Sentence,Same Chain,Size of Chain,Result
the city,Chicago,3,1,1,1,False,True,11,
the city,Its,3,2,1,1,False,True,11,
the city,Chicago,3,3,1,1,True,True,11,
the city,It,3,4,1,1,False,True,11,
the city,Chicago,3,5,1,1,False,True,11,
the city,the seat of Cook County,3,3,1,1,True,True,11,
the city,the third most populous city in the United States,3,1,1,1,False,True,11,
the city,Chicagoland,3,2,1,1,False,True,11,
the city,Chicago,3,7,1,1,False,True,11,
the city,the city,3,6,1,1,False,True,11,
the city,third,3,1,1,2,False,False,0,
the city,the United States,3,1,1,4,False,False,0,
the city,Its metropolitan area,3,2,1,6,False,False,0,
the city,Cook County,3,3,1,9,True,False,0,
the city,DuPage County,3,3,1,10,True,False,0,
the city,a small part of the city,3,3,1,12,True,False,0,
the city,a city in 1837,3,4,1,15,False,False,0,
the city,1837,3,4,1,16,False,False,0,
the city,an alpha + global city,3,5,1,18,False,False,0,
the city,an alpha,3,5,1,19,False,False,0,
the city,Second City,3,6,1,20,False,False,0,
the city,The best-known nicknames for the city,3,6,1,21,False,False,0,
the city,Windy City and Second City,3,6,1,23,False,False,0,
the city,Windy City,3,6,1,24,False,False,0,
the city,the fastest growing city in the world for several decades,3,7,1,26,False,False,0,
the city,The City of Chicago,3,7,1,26,False,False,0,
the city,the world for several decades,3,7,1,28,False,False,0,
the city,several decades,3,7,1,29,False,False,0,
Chicago,Its,1,2,1,1,False,True,11,
Chicago,Chicago,1,3,1,1,False,True,11,
Chicago,It,1,4,1,1,False,True,11,
Chicago,Chicago,1,5,1,1,False,True,11,
Chicago,the seat of Cook County,1,3,1,1,False,True,11,
Chicago,the third most populous city in the United States,1,1,1,1,True,True,11,
Chicago,Chicagoland,1,2,1,1,False,True,11,
Chicago,Chicago,1,7,1,1,False,True,11,
Chicago,the city,1,6,1,1,False,True,11,
Chicago,third,1,1,1,2,True,False,0,
Chicago,the United States,1,1,1,4,True,False,0,
Chicago,Its metropolitan area,1,2,1,6,False,False,0,
Chicago,Cook County,1,3,1,9,False,False,0,
Chicago,DuPage County,1,3,1,10,False,False,0,
Chicago,a small part of the city,1,3,1,12,False,False,0,
Chicago,a city in 1837,1,4,1,15,False,False,0,
Chicago,1837,1,4,1,16,False,False,0,
Chicago,an alpha + global city,1,5,1,18,False,False,0,
Chicago,an alpha,1,5,1,19,False,False,0,
Chicago,Second City,1,6,1,20,False,False,0,
Chicago,The best-known nicknames for the city,1,6,1,21,False,False,0,
Chicago,Windy City and Second City,1,6,1,23,False,False,0,
Chicago,Windy City,1,6,1,24,False,False,0,
Chicago,the fastest growing city in the world for several decades,1,7,1,26,False,False,0,
Chicago,The City of Chicago,1,7,1,26,False,False,0,
Chicago,the world for several decades,1,7,1,28,False,False,0,
Chicago,several decades,1,7,1,29,False,False,0,
Its,Chicago,2,3,1,1,False,True,11,
Its,It,2,4,1,1,False,True,11,
Its,Chicago,2,5,1,1,False,True,11,
Its,the seat of Cook County,2,3,1,1,False,True,11,
Its,the third most populous city in the United States,2,1,1,1,False,True,11,
Its,Chicagoland,2,2,1,1,True,True,11,
Its,Chicago,2,7,1,1,False,True,11,
Its,the city,2,6,1,1,False,True,11,
Its,third,2,1,1,2,False,False,0,
Its,the United States,2,1,1,4,False,False,0,
Its,Its metropolitan area,2,2,1,6,True,False,0,
Its,Cook County,2,3,1,9,False,False,0,
Its,DuPage County,2,3,1,10,False,False,0,
Its,a small part of the city,2,3,1,12,False,False,0,
Its,a city in 1837,2,4,1,15,False,False,0,
Its,1837,2,4,1,16,False,False,0,
Its,an alpha + global city,2,5,1,18,False,False,0,
Its,an alpha,2,5,1,19,False,False,0,
Its,Second City,2,6,1,20,False,False,0,
Its,The best-known nicknames for the city,2,6,1,21,False,False,0,
Its,Windy City and Second City,2,6,1,23,False,False,0,
Its,Windy City,2,6,1,24,False,False,0,
Its,the fastest growing city in the world for several decades,2,7,1,26,False,False,0,
